0	1	1                         1	              -nan
2	3	2                       1.5	0.2924812503605781
4	8	5                       2.5	0.3304820237218406
6	21	13                  4.265625	0.3487928568199754
8	55	34                 7.3046875	0.3586028193468749
10	144	89                 12.515625	 0.364565843240871
12	377	233           21.445556640625	0.3685505714935787
14	987	610          36.7474365234375	0.3713979790647604
16	2584	1597          62.9676513671875	0.3735336845065723
18	6765	4181    107.896671295166015625	0.3751948081615576
20	17711	10946   184.8836956024169921875	0.3765237096358767
22	46368	28657     316.80292510986328125	0.3776109929985818
24	121393	75025 542.849887907505035400391	0.3785170625127417
26	317811	196418 930.187121003866195678711	0.3792837367231235
28	832040	514229 1593.89934375882148742676	0.3799408860471333
30	2178309	1346269 2731.18715651426464319229	0.3805104154613875
32	5702887	3524578 4679.95881491480395197868	0.3810087536988754
34	14930352	9227465 8019.22872881870716810226	0.3814484639084255
36	39088169	24157817 13741.1528495005477452651	 0.381839317428026
38	102334155	63245986 23545.8156910747857182287	0.3821890284718791
