# 
# High-precision tabulation of the zeros of b(s).
# This represents a considerable mount of compute time
#
# computed to precision of 1610 decimal places
# computed up to order of 6000 
# computed with 11448 bits of default mpf 
#
1	   2.72455103069766569
2	   6.96911230912181967
3	   12.7280181128828094
4	   20.0181623142880873
5	   28.8642098263437319
6	   39.2776178479812259
7	   51.2604866363094871
8	   64.8129147812760209
9	   79.9351642943475156
10	   96.6275371437459825
11	   114.890229652540711
12	   134.723360324123206
13	     156.1270094497429
14	   179.101235580505062
15	   203.646082192419016
16	   229.761581986993377
17	   257.447760013001584
18	   286.704635799483015
19	   317.532224801409711
20	   349.930539398928147

# these values are good
20    349.93053940158
21       383.89958964768
22       419.43938376745
23       456.54992856739
24       495.23122972587
25    535.48329201745
26    577.30611948572

# these values are atrocious
# 21	   383.899589865147277
# 22	   419.439383118398666
# 23	   456.549924899347104
# 24	   495.231134738647484
# 25    535.48488917273562
# 26    577.302481204831565


# these values are good 
27    620.69971557796
28    665.66408325113
29    712.19922505597
30    760.30514320447
31    809.98183962424
32    861.22931600277
33	   914.0475738237
34	   968.43661439668
# 35	   1024.3964388821
# 36		1081.92704831192873
# old high-prec -- is a lot better than new high-prec
37	1141.0284436067
# 37    1141.0263272622492
# 38	   1201.7006255904
# 39	         1263.943587
40	         1327.757352
41	         1393.141954
42	         1460.097275

